"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"DPA: IP (Slovenia)",07101-22-2023-7_34,Slovenia,08.01.2024,"12, 12(3), 15, 15(1)",,,"Complaint → Upheld",,,ar,"The DPA found that a controller who fails to reply to an access request within the one-month limit violates Article 15 GDPR. However, corrective measures may be unnecessary if the controller eventually replies."
"DPA: CNIL (France)",SAN-2023-025,France,29.12.2023,"6(1)(a), 30",,,"Investigation → Violation Found","75000 EUR",,nzm,"The French DPA imposed a €75,000 fine to TAGADAMEDIA for collecting personal data through forms that were deceptive by design which did not allow the controller to obtain valid consent under Article 6(1)(a) GDPR."
"DPA: Datatilsynet (Denmark)","2023-431-0001 (Helsingor decision no. 5)",Denmark,30.01.2024,"5(1)(a), 5(2), 6(1), 6(1)(e), 58(2)(d)",,"Folkeskoleloven (The Public School Act) § 2(1) and § 18(1)","Investigation → Violation Found",,"53 Danish municipalities
KL Kommunernes Landsforening (Local Government Denmark)","Rie Aleksandra Walle","In its fifth Chromebook case decision, the Danish DPA held that 53 municipalities unlawfully shared students' personal data with Google for some of Google's own development purposes, breaching Article 6(1)(e) GDPR."
"Court: OLG Köln","6 U 58/23",Germany,03.11.2023,"44, 49",,,,,"Telekom Deutschland GmbH
Verbraucherzentrale NRW e.V., Beratungsstelle Köln",co,"The Higher Regional Court of Cologne confirmed a lower court’s decision holding that Telekom Deutschland GmbH, as a controller, should refrain from transmitting personal data collected through the use of analysis and marketing cookies to third countries in the absence of appropriate safeguards under Article 44 GDPR."
"DPA: Commissioner (Cyprus)",11.17.001.010.007,Cyprus,04.10.2023,"5(1)(c), 15(3), 34(1), 58(2)(b), 60, 56",,,"Complaint → Upheld",,,co,"In the context of an Article 60 GDPR procedure, the Cypriot DPA reprimanded a controller for unlawfully asking a data subject’s ID when addressing an access request and for failing to inform its users properly about a data breach."
"DPA: Garante per la protezione dei dati personali (Italy)",9977020,Italy,11.01.2024,"5(1)(a), 6, 9, 10, 13, 14, 35, 83",,,"Investigation → Violation Found","50000 EUR","Comune di Trento",co,"The Italian DPA imposed a fine in the amount of €50,000 on the municipality of Trento for making use of AI systems of surveillance for scientific research in violation of several GDPR provisions."
"DPA: Commissioner (Cyprus)",11.17.001.008.147,Cyprus,05.12.2023,"4, 28, 36(4)",,"Article 13 of 125(Ι)/2018 Law","Complaint → Upheld",,,"Nikolaos. Konstantis","The DPA held a violation of the Regulation and its Protection of Natural Persons Against Data Processing of a Personal Character and the Free Circulation of this Data Law of 2018, Law 125(I)/2018, by the Examinations Service of Directorate of Higher Education of the Ministry of Education, Sports and Youth in relation to Statistical Processing Methods of the scores of the candidates who took part in the 2019 Written Examinations for Registration and Ranking in the Appointment Tables."
"DPA: Commissioner (Cyprus)",11.17.001.009.232,Cyprus,07.09.2023,"12(3), 17, 24(1), 58(2)",,,"Complaint → Upheld",,"Freedom Finance Europe Ltd",nikolaos.konstantis,"The Commissioner for Personal Data Protection held that the controller should notify the data subject about the request to the right of erasure in a clear and concise manner without undue delay by taking all the appropriate measures in place, such a training of the staff in tackling GDPR requests in a timely manner."
"DPA: Commissioner (Cyprus)",11.17.001.009.048,Cyprus,,"9(2), 9(2)(h), 58(2)(b)",,,"Complaint → Upheld",,,co,"The Cypriot DPA issued a reprimand to a doctor, as a controller, for acting in violation of Article 9 GDPR by unlawfully accessing a data subject's medical data on the General Health System."
"DPA: Commissioner (Cyprus)","Decision of 27 November 2023",Cyprus,27.11.2023,"5(2), 32, 83",,,"Complaint → Upheld","45000 EUR","Open University of Cyprus",co,"The Cypriot DPA imposed a fine in the amount of €45,000 on the Open University of Cyprus for failing to put in place appropriate security measures according to Article 32 GDPR."
"Court: BVwG","W298 2266986 -1/20E",Austria,04.01.2024,"5(1)(c), 6(1)(c), 9(2)(f)",,,,,,co,"An Austrian Court partially upheld an appeal by a data subject stating that documents, including personal data of the data subject, provided by a controller in the context of criminal proceedings must be limited to what is necessary in order to comply with Article 5(1)(c) GDPR."
"DPA: CNIL (France)",SAN-2023-021,France,07.12.2023,"5(1)(c), 6(1)(f), 12, 13, 32",,,"Investigation → Violation Found","32000000 EUR","Amazon France Logistique",nzm,"The French DPA, by conducting on-site inspections in Amazon France Logistique warehouses, found violations of Article 6, 5(1)(c),12, 13 and 32 GDPR in the context of extensive workplace surveillance and issued a €32 million fine."
"Court: OLG Köln","6 U 80/23",Germany,19.01.2024,4(11),,,,,"WetterOnline Meteorologische Services GmbH",nzm,"The Higher Regional Court of Cologne, on appeal, ordered a controller to provide for an equivalent reject option on a cookie banner and to refrain from using a misleading ""Accept and Close X"" button on the banner."
"DPA: APD/GBA (Belgium)",DOS-2023-02597,Belgium,22.01.2024,"5(2), 12(2), 12(3), 15, 24",,,"Investigation → Violation Found",,,"Diana Rosu","The Belgian DPA found the controller to have breached Article 15 GDPR in conjunction with Article 12(3) and (4) GDPR for having replied to the complainant's access request after the one-month deadline."
"DPA: ICO (UK)","Crown Prosecution Service","United Kingdom",,,,"S.40 Data Protection Act 2018","Investigation → Violation Found",,"Crown Prosecution Service",'-,"An Enforcement Notice has been issued to the Crown Prosecution Service in relation to a contravention of the sixth data protection principle in section 40 DPA 2018 (Law Enforcement Directive). The CPS had insufficient technical and organsational measures to ensure the security of personal data stored on personal USB devices."
"DPA: CNIL (France)",SAN-2023-024,France,29.12.2023,"6(1), 7(3), 7(4)","Directive 2002/58/EC of the European Parliament and the Council of 12 July 2002 concerning the processing of personal data and the protection of privacy in the electronic communication sector","Loi n° 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés","Complaint → Upheld","10000000 EUR","Yahoo EMEA Limited",'-,"The French DPA (Commission Nationale de l’Informatique et des Libertés – CNIL) imposed a sanction on Yahoo EMEA Limited for a total amount of €10 million for depositing cookies on user’s device without prior consent and not allowing the users to withdraw their consent."
"DPA: DSB (Austria)",2023-0.583.644,Austria,07.12.2023,"5(1)(a), 5(1)(c), 6, 30",,,"Complaint → Upheld","20000 EUR",,co,"The Austrian DPA imposed a fine of €20,000 on a controller for unlawfully making use of cameras recording its employees at work and for failing to maintain a record of its processing activities under Article 30 GDPR."
"Court: Helsingin hallinto-oikeus",117/2024,Finland,16.01.2024,"9, 9(1)",,"§ 2(1)(5) Insurance Contracts Act
§ 6(1)(1) Data Protection Act",,,"OP-Henkivakuutus Oy",fred,"The Administrative Court of Helsinki upheld a Finnish DPA decision ordering a life insurance company to change its processing operations. The controller was found to have breached Article 9 GDPR as its practice was to process the health data of life insurance applicants."
"Court: Helsingin hallinto-oikeus",116/2024,Finland,16.01.2024,"5(1)(a), 5(1)(c), 9, 9(1), 25(2)",,"§ 2(1)(5) Insurance Contracts Act
§ 44(1)(3) Administrative Procedure Act
§ 6(1)(1) Data Protection Act",,,"LähiTapiola Keskinäinen Henkivakuutusyhtiö",fred,"The Administrative Court of Helsinki upheld a Finnish DPA decision, which found that a life insurance company had breached Article 5(1)(a) GDPR, Article 5(1)(c) GDPR, Article 9 GDPR and Article 25(2) GDPR as its as its practice was to process the health data of life insurance applicants."
"DPA: NAIH (Hungary)",NAIH-373-31/2023.,Hungary,24.11.2023,"5(1)(b), 5(1)(a), 5(2), 12(1), 13(1), 13(2), 14(2), 17(1)(b)",,,"Investigation → Violation Found","500000 HUF","Pitagorasz Oktatási Stúdió Kft",lszabo,"The DPA fined a controller for several infringements in handling the data of minors and parents: no proper and documented legal basis, information was confusing, partly untrue and not properly given, data were retained after consent was withdrawn."
"DPA: DSB (Austria)",2023-0.789.858,Austria,11.12.2023,"12(3), 15, 83, 83(2)(b)",,,"Complaint → Upheld","9500 EUR",,co,"The Austrian DPA imposed a fine in the amount of €9,500 on a controller for failing to comply with an access request of a data subject and instead deleting their personal data."
"DPA: DSB (Austria)",2023-0.637.760,Austria,07.12.2023,"31, 58(1)(a), 58(1)(e), 83",,,Other,"10000 EUR",,co,"The Austrian DPA imposed a fine in the amount of €10,000 on a controller for failing to cooperate with the DPA in the context of a complaints procedure, thereby violating Article 31 GDPR."
"DPA: AP (The Netherlands)","Decision of 18 December 2023",Netherlands,18.12.2023,"35, 35(1), 35(7)",,,"Investigation → Violation Found","150000 EUR",ICS,co,"The Dutch DPA imposed a fine in the amount of €150,000 on ICS, a credit card company, for failure to carry out a DPIA under Article 35(1) GDPR."
"DPA: CNIL (France)",SAN-2023-023,France,29.12.2023,"5(1)(e), 12, 13, 32",,"Article 82 Informatique et Libertés","Investigation → Violation Found","105000 EUR","NS Cards France",R_e_,"The French CNIL fine an electronic money distributor €105,000 for keeping personal data longer than necessary, having incomplete, privacy policies, failing to sufficiently secure personal data, and failing to seek user consent regarding cookies."
"Court: VwGH","Ra 2023/04/0248",Austria,27.11.2023,16,,"§ 25 AMSG
§ 38 AVG",,,"Arbeitsmarktservice
Datenschutzbehörde
S. P.","Sebastian Elisa","The Austrian Supreme Administrative Court held that a suspension of investigation by the Austrian Data Protection Authority was unlawful."
"Court: BVwG","W292 2267784-1",Austria,18.12.2023,"56(1), 60, 60(7), 60(9), 65",,,,,,co,"An Austrian court held, on appeal, that the DSB's communication to a data subject informing them of a decision of the Lead Supervisory Authority in the context of an Article 60 GDPR procedure does not constitute a decision. Rather, the communication was a mere information in accordance with Article 60(7) GDPR against which an appeal is not admissible."
"Court: BVwG","W214 2233132-1/27E",Austria,29.11.2023,"15, 15(1)(c)",,,,,,co,"An Austrian Court held that a controller acted contrary to Article 15(1)(c) GDPR as it failed to store and provide information about the recipients of a data subject’s personal data."
"DPA: APD/GBA (Belgium)",03/2024,Belgium,09.01.2024,"12, 17",,,"Complaint → Upheld",,,"Matthias Vandamme","The Belgian DPA found a recruitment agency to have breached Article 12 GDPR and Article 17 GDPR for not complying with a data subject's deletion request after requesting it multiple times."
"DPA: IMY (Sweden)","IMY 2023-8336",Sweden,09.01.2024,"5(1)(d), 12(2), 16, 25, 56, 58(2)(b)",,,"Investigation → Violation Found",,"Klarna Bank AB","Maximilien Hjortland","The DPA reprimanded Klarna Bank for refusing to rectify an email address linked to the data subject’s payment card unless the latter accepted to create a new account"
"DPA: APD/GBA (Belgium)",01/2024,Belgium,05.01.2024,"5(1)(c), 5(1)(e), 5(1)(b), 6(1)(f), 12, 13(1)(c), 15",,,"Complaint → Upheld",,,"Matthias Vandamme","The Belgian DPA found that a controller violated Article 5(1) GDPR for not timely deleting a former employee's mailbox. The DPA stated that the mailbox must be deactivated on the last work day and the auto-reply within one month or 3 months in some exceptions."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",6629/163/21,Finland,27.09.2023,"12(2), 15, 58(2)(b), 58(2)(d)",,,"Investigation → Violation Found",,,fred,"The Finnish DPA ordered a healthcare provider to facilitate the exercise of the right of access and inform data subjects of the possibility of obtaining a copy of their personal data, such as copies of their MRI scans, free of charge pursuant to Article 15 GDPR."
"DPA: IP (Slovenia)",0603-44-2023-5,Slovenia,,,,"Article 100 ZVOP-2
Article 103 ZVOP-2
Article 76(3) ZVOP-2
Article 78(1) ZVOP-2","Investigation → Violation Found","4500 EUR",,ar,"The Slovenian DPA fined a company €4,000 for installing two video surveillance cameras in lack of a proper legal basis and without displaying the appropriate information."
"DPA: HDPA (Greece)",36/2023,Greece,23.11.2023,"5(1)(a), 12(3), 15(1), 15(3)",,,"Complaint → Upheld","10000 EUR","Alpha Bank",Inder-kahlon,"The Hellenic DPA  imposed an administrative fine of €10,000 on Bank for failing to comply with a data subject access request, violating GDPR Article 12(3) and Article 15. The delay also led to the deletion of requested data, violating Article 5(1) GDPR."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",3831/161/21,Finland,30.05.2023,"5(1)(e), 9, 13(2)(a), 25(1), 25(2), 58(2)(b), 58(2)(d), 83",,,"Investigation → Violation Found",,"Kesko Oyj",fred,"The Finnish DPA found a retail chain to have breached Article 5(1)(e) GDPR, Article 25(1) GDPR and Article 25(2) GDPR for its lengthy storage of purchase behaviour data in connection with its loyalty program."
"DPA: Garante per la protezione dei dati personali (Italy)",9980617,Italy,,"5(1)(f), 5(2), 9, 32",,,"Complaint → Upheld","18000 EUR","Azienda Asl N.8 Di Cagliari",im,"The DPA fined a health service provider €18,000 for the loss of biological data due to the lack of a complete record of processing operations performed on the tissue samples involved."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",128/182/19,Finland,04.12.2023,"9(1), 32(1)(b), 32(2), 58(2)(d)",,,"Investigation → Violation Found",,"Lääkärikeskus Gyneko Oy",fred,"The Finnish DPA ordered a healthcare provider to reliably identify persons in the electronic healthcare appointment booking system."
"Court: Rb. Amsterdam",22/4916,Netherlands,20.09.2023,"15, 15(3)",,"Article 39(i) WJSG",,,,co,"A Dutch Court held that the board of the Public Prosecutor's office had fulfilled a generic access request under Article 15 GDPR by providing a general overview of the data being processed. The controller is obliged to provide a copy under Article 15(3) GDPR only insofar as the data subject shows that the copy is necessary to exercise their rights."
"DPA: CNIL (France)",SAN-2023-018,France,12.12.2023,"31, 37(1)(a)",,,"Investigation → Violation Found","5000 EUR","Commune de KOUROU (Municipality of KOUROU)",nzm,"{DISPLAYTITLE:CNIL (France) - SAN-2023-018}  The French DPA fined a municipality €5,000 for failing to designate a DPO and to cooperate with the DPA, therefore violating Article 31 GDPR and Article 37(1)(a) GDPR."
"Court: Hämeenlinnan hallinto-oikeus (Finland)",2548/2023,Finland,14.12.2023,"5(1)(a), 32, 85(2)",,"§ 27(1) Data Protection Act",,,"Sanoma Media Finland Oy",fred,"The Administrative Court of Hämeenlinna upheld a DPA decision, which found that media outlets are not obliged to erase the personal tax information published in the tax information portals due to journalistic exemption."
"DPA: IP (Slovenia)",07100-17-2023-7,Slovenia,25.10.2023,,,"Article 12 ZVOP-2
Article 14 ZVOP-2
Article 15 ZVOP-2","Complaint → Partly Upheld",,,ar,"The Slovenian DPA decided that while the controller did not comply with the access request when the complaint was filed, it later remedied the violation by providing the complainant information regarding his application process for a public tender."
"DPA: APD/GBA (Belgium)",165/2023,Belgium,,"5(1)(f), 5(2), 24(1), 25(1), 32(1), 32(2), 35(1), 35(2), 35(3), 35(7), 38(1), 39(1)",,,"Investigation → Violation Found",,"City of Antwerp
MeldJeAan","Enzo Marquet","The Belgian DPA reprimanded the city of Antwerp for several breaches of the GDPR due to its usage of a tool called 'MeldJeAan'. The tool, used by parents to claim a spot for their children in schools, had suffered a data breach as its database had been directly accessible without log-in."
"DPA: DSB (Austria)",DSB-D770.1336,Austria,15.06.2022,6(1)(e),,"§ 750 ASVG
§1(2) DSG","Complaint → Rejected",,,co,"The Austrian DPA held that the sending of letters inviting data subjects to get a covid-19 vaccine did not consitute a violation of data subject's rights under Austrian Data Protection Law."
"DPA: EDPB","Urgent Binding Decision 01/2023","European Union",27.10.2023,"6(1)(f), 6(1)(b), 58(2)(f), 60, 61, 66, 66(2)",,"Article 41 CFREU",Other,,"Meta Platfroms Ireland Ltd",co,"The EDPB issued an urgent binding decision pursuant to Article 66(2) GDPR ordering a ban on Meta Platforms Ireland’s processing of personal data collected on Meta’s products for behavioural advertising purposes on the basis of Article 6(1)(b) GDPR and Article 6(1)(f) GDPR ."
"DPA: Commissioner (Cyprus)",11.17.001.009.077,Cyprus,07.12.2023,"5(1)(a), 57(1)(f), 58(2)(i), 83",,,"Complaint → Upheld","1500 EUR","Complainant
Respondent","Evangelia Tsimpida","The Cypriot Commissioner for Personal Data Protection, following a complaint, imposed a fine in the amount of €1,500 on a doctor for breaching the principle of lawfulness, fairness and transparency provided for in Article 5(1)(a) GDPR."
"DPA: HDPA (Greece)",35/2023,Greece,08.11.2023,"4(12), 5(1), 24(1), 33(1), 34(1)",,,"Complaint → Upheld","600000 EUR",,"Nikolaos. Konstantis","The Hellenic DPA fined a controller €60,000 for unauthorised disclosure of personal data to a data subject's wife."
"DPA: CNPD (Luxembourg)",10FR/2023,Luxembourg,24.07.2023,"37(1)(a), 37(7)",,,"Investigation → Violation Found",,"Administration communale de Leudelange",ar,"The Luxembourgish DPA found the Municipal Administration of Leudelange to have breached Articles 37(1)(a) and 37(7) GDPR, since on the date of investigation, it had not yet designated a DPO and had not communicated to the DPA the contact details of the DPO."
"Court: Rb. Amsterdam","AMS 22/76",Netherlands,18.09.2023,9(1),,"Article 10 and 11 Dutch Government Information Act (Wob)","Complaint → Partly Upheld","1858 EUR","Dutch Minister of Social Affairs and Employment
Plaintiff as the recipient",paula_slf,"The Regional Court of Amsterdam ordered the Dutch Ministry of Social Affairs and Employment to reevaluate its withholding of official information since it had not sufficiently justified the nature of the withheld personal data while ensuring compliance with Article 9 GDPR."
"Court: Rb. Amsterdam",ECLI:NL:RBAMS:2023:7218,Netherlands,15.11.2023,6(1)(f),,,,,Rabobank,'-,"A Dutch court refused to enforce a data subject's objection to processing (Article 21(1) GDPR), which requested that their negative credit registration be removed from the Netherlands' national Credit Information System, as the data subject had no overriding interests, rights or freedoms against the legitimate interests of the controller."
"DPA: APD/GBA (Belgium)",159/2023,Belgium,24.11.2023,"4(11), 6(1)(a), 7(3)","Article 5(3) ePrivacy Directive 2002/58/EC",,"Complaint → Upheld",,"Mediafin
noyb","Stefan Ragossnig","The Belgian DPA proposed a settlement between the data subject and Mediafin, a Belgian media group, concerning the setting of cookies on the website of the Belgian newspaper De Tijd.  Inter alia, Mediafin should ensure that the withdrawal of consent in the cookie banner should not take more clicks than granting consent."
"DPA: APD/GBA (Belgium)",162/2023,Belgium,30.11.2023,,"Article 5(3) ePrivacy Directive
Collection Consent rules and Article 83(1) Regulation (EU) 2016/679
Report of the work undertaken by the  Cookie Banner Taskforce","Act of 30 July 2018  on the protection of individuals with regard to the processing of personal data
Article 10(2)(2) Act of 30 July 2018 on the protection of individuals with regard to the processing of personal data
Article 95 Belgian Law establishing the national data protection authority (LCA)","Complaint → Upheld",,"Ms. X, represented by noyb - European Center for Digital Rights
RADIO TÉLÉVISION BELGE DE LA COMMUNAUTÉ FRANÇAISE",kaelasophie,"The DPA found that Radio Télévision Belge de la Communauté Française did not use misleading cookie banners on their website."
"DPA: NAIH (Hungary)",NAIH-3734-15/2023,Hungary,30.11.2023,"6(1)(f), 38(2), 58(2)(d), 83",,"2005. évi CXXXIII. törvény - Law 133 of 2005 about the rules of the activity to protect the security of persons and assets and of private detectives
Procedural laws concerning administrative procedures and judicial redress","Complaint → Partly Upheld",,,Lszabo,"Surveying and recording a public space is proportionate based on legitimate interest in an area with many incidents but has to be restricted to the pavement in front of the shop. Being the first case, only a reprimand was issued."
"Court: Rb. Midden-Nederland",ECLI:NL:RBMNE:2023:6043,Netherlands,09.11.2023,12(3),,,,,"University of Utecht",'-,"The Central Netherlands District Court awarded a data subject €707 in damages for a controller's late response to an access request. The controller was in violation of Article 12(3) GDPR, as they had failed to respond to the data subject's access request within the one-month deadline."
"DPA: HDPA (Greece)",34/2023,Greece,10.11.2023,"5(1)(c), 15(1)",,,"Complaint → Upheld","20000 EUR","ΠΕΙΡΑΙΩΣ ΧΡΗΜΑΤΟΔΟΤΙΚΕΣ ΜΙΣΘΩΣΕΙΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ (PEIRAIOS LEASING M.A.E)",Inder-kahlon,"The Hellenic DPA imposed an administrative fine of €20,000 on a leasing company. They fined them €10,000 for violating Article 5(1)(c) GDPR, and an additional €10,000 for violating Article 15(1) GDPR."
"DPA: APD/GBA (Belgium)",154/2023,Belgium,23.11.2023,"5(1)(b), 5(1)(c)",,"CLA nr. 68 on Camera Surveillance at Work","Complaint → Upheld",,,"Matthias Vandamme","The Belgian data protection authority held that the constant surveillance of employees in a shop by CCTV was in violation of the principle of data minimisation (Article 5(1)(c) GDPR), as the surveillance was not necessary for maintaining security."
"DPA: Datatilsynet (Norway)",23/00708,Norway,27.11.2023,"5(1)(f), 5(2), 24(1), 24(2), 32(1), 32(1)(d), 32(2), 32(4), 57(1)(a), 57(1)(h), 58(1)(f), 58(1)(b), 58(1)(e), 58(1)(a), 58(2)(d), 58(2)(i), 83",,,"Investigation → Violation Found","20000000 NOK","The Labour and Welfare Administration (NAV)","Rie Aleksandra Walle","The Norwegian DPA fined the Labour and Welfare Administration (NAV) €1,754,678 (NOK 20 million) and issued several orders for 12 violations, attributed to ""serious neglect over an extended period"" in their information security and IT systems."
"DPA: Garante per la protezione dei dati personali (Italy)",9954241,Italy,26.10.2023,"5(1)(a), 6, 9, 12, 13",,,"Complaint → Upheld",,,co,"The Italian DPA ordered a controller to bring her processing of medical data for research purposes in compliance with GDPR requirements."
"DPA: AZOP (Croatia)","Decision 23-03-2023",Croatia,23.03.2023,"11, 12(2), 15, 17, 17(3)(e)",,,"Complaint → Rejected",,,co,"The Croatian DPA held that a controller had lawfully rejected an access request on the basis of Article 12(2) GDPR, as it was unable to identify the data subject."
"Court: Hoge Raad",23/00030,Netherlands,20.10.2023,5(1)(c),,"Art. 22 Rv",,,"[plaintiff] BV
PME Investment Services BV (hereinafter: 'PME')",Fahim.H.I.,"The Supreme Court of the Netherlands dismissed an appeal, reminding that the GDPR does not mean an absolute ban on sharing personal data in civil proceedings, but such actions must remain proportionate and necessary."
"DPA: AEPD (Spain)",PS/00584/2022,Spain,,"6, 83(5)(a)",,"Article 1903 Spanish Civil Code","Complaint → Upheld","10000 EUR",,R_e_,"The Spanish DPA imposed a €10,000 fine on the father of a minor who used the photo of another minor to create a fake Instagram account which displayed a sexually explicit video. There was no legal grounds for processing the photo in this manner."
"Court: SAC",6193-22,Sweden,17.11.2023,78(1),"GDPR Recital 141
GDPR Recital 143","The Swedish Data Protection Act Chapter 7, § 3, first paragraph",,,"The Swedish DPA IMY","Rie Aleksandra Walle","The Swedish Supreme Administrative Court ruled that the DPA's decision not to investigate a complaint can be appealed."
